gcc -g -Wall -o poly_sin5 poly_sin5.c -lm
./poly_sin5
x: -6.283180, sin_approx_5th: -46.546487
x: 0.516820, sin_approx_5th: 0.494120
x: 0.616820, sin_approx_5th: 0.578451
x: 0.716820, sin_approx_5th: 0.657010
x: 0.816820, sin_approx_5th: 0.729020
x: 0.916820, sin_approx_5th: 0.793778
x: 1.016820, sin_approx_5th: 0.850659
x: 1.116820, sin_approx_5th: 0.899133
x: 1.216820, sin_approx_5th: 0.938770
x: 1.316820, sin_approx_5th: 0.969251
x: 1.416820, sin_approx_5th: 0.990381
x: 1.516820, sin_approx_5th: 1.002094
x: 1.616820, sin_approx_5th: 1.004469
x: 1.716820, sin_approx_5th: 0.997732
x: 1.816820, sin_approx_5th: 0.982276
x: 1.916820, sin_approx_5th: 0.958662
x: 2.016820, sin_approx_5th: 0.927633
x: 2.116820, sin_approx_5th: 0.890126
x: 2.216820, sin_approx_5th: 0.847277
x: 2.316820, sin_approx_5th: 0.800435
x: 2.416820, sin_approx_5th: 0.751170
x: 2.516820, sin_approx_5th: 0.701286
x: 2.616820, sin_approx_5th: 0.652825
x: 2.716820, sin_approx_5th: 0.608083
x: 2.816820, sin_approx_5th: 0.569617
x: 2.916820, sin_approx_5th: 0.540257
x: 3.016820, sin_approx_5th: 0.523112
x: 3.116820, sin_approx_5th: 0.521586
x: 3.216820, sin_approx_5th: 0.539382
x: 3.316820, sin_approx_5th: 0.580515
x: 3.416820, sin_approx_5th: 0.649323
x: 3.516820, sin_approx_5th: 0.750476
x: 3.616820, sin_approx_5th: 0.888983
x: 3.716820, sin_approx_5th: 1.070206
x: 3.816820, sin_approx_5th: 1.299871
x: 3.916820, sin_approx_5th: 1.584073
x: 4.016820, sin_approx_5th: 1.929289
x: 4.116820, sin_approx_5th: 2.342388
x: 4.216820, sin_approx_5th: 2.830640
x: 4.316820, sin_approx_5th: 3.401730
x: 4.416820, sin_approx_5th: 4.063760
x: 4.516820, sin_approx_5th: 4.825266
x: 4.616820, sin_approx_5th: 5.695226
x: 4.716820, sin_approx_5th: 6.683069
x: 4.816820, sin_approx_5th: 7.798686
x: 4.916820, sin_approx_5th: 9.052439
x: 5.016820, sin_approx_5th: 10.455173
x: 5.116820, sin_approx_5th: 12.018223
x: 5.216820, sin_approx_5th: 13.753428
x: 5.316820, sin_approx_5th: 15.673136
x: 5.416820, sin_approx_5th: 17.790218
x: 5.516820, sin_approx_5th: 20.118077
x: 5.616820, sin_approx_5th: 22.670658
x: 5.716820, sin_approx_5th: 25.462456
x: 5.816820, sin_approx_5th: 28.508528
x: 5.916820, sin_approx_5th: 31.824505
x: 6.016820, sin_approx_5th: 35.426597
x: 6.116820, sin_approx_5th: 39.331607
x: 6.216820, sin_approx_5th: 43.556940
