gcc -g -Wall -o poly_sin3 poly_sin3.c -lm
./poly_sin3
x: -6.283180, sin_approx_3rd: 35.058417
x: -1.883180, sin_approx_3rd: -0.770105
x: -1.783180, sin_approx_3rd: -0.838175
x: -1.683180, sin_approx_3rd: -0.888412
x: -1.583180, sin_approx_3rd: -0.921817
x: -1.483180, sin_approx_3rd: -0.939391
x: -1.383180, sin_approx_3rd: -0.942133
x: -1.283180, sin_approx_3rd: -0.931043
x: -1.183180, sin_approx_3rd: -0.907121
x: -1.083180, sin_approx_3rd: -0.871368
x: -0.983180, sin_approx_3rd: -0.824783
x: -0.883180, sin_approx_3rd: -0.768366
x: -0.783180, sin_approx_3rd: -0.703117
x: -0.683180, sin_approx_3rd: -0.630036
x: -0.583180, sin_approx_3rd: -0.550124
x: -0.483180, sin_approx_3rd: -0.464379
x: -0.383180, sin_approx_3rd: -0.373803
x: -0.283180, sin_approx_3rd: -0.279395
x: -0.183180, sin_approx_3rd: -0.182156
x: -0.083180, sin_approx_3rd: -0.083084
x: 0.016820, sin_approx_3rd: 0.016819
x: 0.116820, sin_approx_3rd: 0.116554
x: 0.216820, sin_approx_3rd: 0.215121
x: 0.316820, sin_approx_3rd: 0.311520
x: 0.416820, sin_approx_3rd: 0.404750
x: 0.516820, sin_approx_3rd: 0.493813
x: 0.616820, sin_approx_3rd: 0.577707
x: 0.716820, sin_approx_3rd: 0.655433
x: 0.816820, sin_approx_3rd: 0.725990
x: 0.916820, sin_approx_3rd: 0.788380
x: 1.016820, sin_approx_3rd: 0.841601
x: 1.116820, sin_approx_3rd: 0.884654
x: 1.216820, sin_approx_3rd: 0.916539
x: 1.316820, sin_approx_3rd: 0.936256
x: 1.416820, sin_approx_3rd: 0.942804
x: 1.516820, sin_approx_3rd: 0.935185
x: 1.616820, sin_approx_3rd: 0.912397
x: 1.716820, sin_approx_3rd: 0.873440
x: 1.816820, sin_approx_3rd: 0.817316
x: 1.916820, sin_approx_3rd: 0.743024
x: 2.016820, sin_approx_3rd: 0.649563
x: 2.116820, sin_approx_3rd: 0.535934
x: 2.216820, sin_approx_3rd: 0.401137
x: 2.316820, sin_approx_3rd: 0.244172
x: 2.416820, sin_approx_3rd: 0.064038
x: 2.516820, sin_approx_3rd: -0.140264
x: 2.616820, sin_approx_3rd: -0.369734
x: 2.716820, sin_approx_3rd: -0.625372
x: 2.816820, sin_approx_3rd: -0.908178
x: 2.916820, sin_approx_3rd: -1.219152
x: 3.016820, sin_approx_3rd: -1.559295
x: 3.116820, sin_approx_3rd: -1.929606
x: 3.216820, sin_approx_3rd: -2.331085
x: 3.316820, sin_approx_3rd: -2.764732
x: 3.416820, sin_approx_3rd: -3.231548
x: 3.516820, sin_approx_3rd: -3.732532
x: 3.616820, sin_approx_3rd: -4.268684
x: 3.716820, sin_approx_3rd: -4.841004
x: 3.816820, sin_approx_3rd: -5.450492
x: 3.916820, sin_approx_3rd: -6.098149
x: 4.016820, sin_approx_3rd: -6.784973
x: 4.116820, sin_approx_3rd: -7.511966
x: 4.216820, sin_approx_3rd: -8.280127
x: 4.316820, sin_approx_3rd: -9.090457
x: 4.416820, sin_approx_3rd: -9.943954
x: 4.516820, sin_approx_3rd: -10.841620
x: 4.616820, sin_approx_3rd: -11.784454
x: 4.716820, sin_approx_3rd: -12.773456
x: 4.816820, sin_approx_3rd: -13.809626
x: 4.916820, sin_approx_3rd: -14.893965
x: 5.016820, sin_approx_3rd: -16.027471
x: 5.116820, sin_approx_3rd: -17.211146
x: 5.216820, sin_approx_3rd: -18.445989
x: 5.316820, sin_approx_3rd: -19.733001
x: 5.416820, sin_approx_3rd: -21.073180
x: 5.516820, sin_approx_3rd: -22.467528
x: 5.616820, sin_approx_3rd: -23.917044
x: 5.716820, sin_approx_3rd: -25.422728
x: 5.816820, sin_approx_3rd: -26.985580
x: 5.916820, sin_approx_3rd: -28.606601
x: 6.016820, sin_approx_3rd: -30.286790
x: 6.116820, sin_approx_3rd: -32.027146
x: 6.216820, sin_approx_3rd: -33.828672
